combo,Dg,RSP,BI,is_xzq
福州·厦门·宁德,0.8488,0.1793,0.2017,0
厦门·泉州·宁德,0.5961,0.1178,0.1887,0
厦门·泉州·龙岩,0.6059,0.0784,0.1463,0
福州·厦门·龙岩,0.862,0.1433,0.1436,0
厦门·泉州·漳州,0.5735,0.0633,0.1432,1
福州·厦门·漳州,0.8104,0.1089,0.142,0
厦门·泉州·莆田,0.5944,0.0877,0.1407,0
福州·厦门·莆田,0.8473,0.1493,0.1382,0
厦门·泉州·三明,0.606,0.0956,0.1364,0
厦门·泉州·南平,0.5998,0.1076,0.1347,0
福州·厦门·三明,0.8657,0.1641,0.1333,0
福州·厦门·南平,0.8586,0.1751,0.1318,0
福州·厦门·泉州,0.7685,0.0309,0.1297,0
漳州·龙岩·宁德,0.2841,0.0443,0.0816,0
漳州·莆田·宁德,0.2684,0.0493,0.0728,0
漳州·三明·宁德,0.2714,0.0487,0.0717,0
厦门·漳州·莆田,0.6123,0.1417,0.0709,0
漳州·南平·宁德,0.2598,0.0553,0.0708,0
厦门·漳州·宁德,0.6126,0.1703,0.0628,0
厦门·漳州·三明,0.6275,0.1533,0.0512,0
厦门·漳州·龙岩,0.6267,0.1354,0.05,0
厦门·漳州·南平,0.6194,0.1633,0.0466,0
泉州·漳州·宁德,0.3314,0.0727,0.0366,0
泉州·龙岩·宁德,0.352,0.0761,0.0334,0
福州·漳州·宁德,0.6948,0.2449,0.0319,0
莆田·三明·宁德,0.2538,0.0346,0.0293,0
泉州·莆田·宁德,0.3373,0.0821,0.0286,0
福州·泉州·宁德,0.6631,0.1771,0.0272,0
福州·龙岩·宁德,0.7447,0.2775,0.0263,0
莆田·龙岩·宁德,0.2687,0.0324,0.0245,0
莆田·南平·宁德,0.2378,0.0367,0.0234,0
福州·莆田·宁德,0.7291,0.2827,0.0219,0
泉州·三明·宁德,0.3435,0.0847,0.0213,0
泉州·南平·宁德,0.336,0.0954,0.0209,0
莆田·三明·龙岩,0.2711,0.0027,0.0142,0
莆田·南平·龙岩,0.2563,0.006,0.0142,0
福州·三明·宁德,0.747,0.297,0.0136,0
福州·南平·宁德,0.7393,0.3074,0.0135,0
三明·南平·龙岩,0.2586,0.0048,0.0068,0
漳州·莆田·龙岩,0.2729,0.0047,0.0034,0
三明·龙岩·宁德,0.2679,0.028,0.0006,0
漳州·三明·龙岩,0.2779,0.0061,0.0001,0
漳州·南平·龙岩,0.2662,0.0125,0.0,0
三明·南平·宁德,0.2332,0.0285,-0.0,0
莆田·三明·南平,0.2355,0.0024,-0.0013,0
厦门·莆田·宁德,0.6448,0.2061,-0.0015,0
南平·龙岩·宁德,0.2504,0.0286,-0.005,0
漳州·莆田·南平,0.2433,0.0103,-0.0105,0
漳州·莆田·三明,0.2551,0.004,-0.0106,0
厦门·莆田·三明,0.6642,0.1934,-0.0112,0
厦门·莆田·龙岩,0.6623,0.1744,-0.0123,0
福州·泉州·漳州,0.6375,0.1197,-0.0124,0
漳州·三明·南平,0.2474,0.0108,-0.0143,0
厦门·莆田·南平,0.6545,0.2018,-0.0152,0
泉州·漳州·龙岩,0.3307,0.023,-0.024,0
泉州·漳州·莆田,0.3147,0.0277,-0.0264,0
厦门·龙岩·宁德,0.6617,0.2022,-0.0291,0
厦门·三明·宁德,0.6637,0.2213,-0.0292,0
福州·漳州·龙岩,0.7052,0.2062,-0.0298,0
福州·泉州·莆田,0.6599,0.1455,-0.0306,0
福州·泉州·龙岩,0.6708,0.1357,-0.0306,0
福州·漳州·莆田,0.6916,0.2133,-0.0319,0
厦门·南平·宁德,0.6538,0.2296,-0.0323,0
泉州·莆田·龙岩,0.3377,0.0334,-0.0348,0
泉州·漳州·三明,0.3203,0.0296,-0.0359,0
泉州·漳州·南平,0.3132,0.0407,-0.0361,0
厦门·三明·龙岩,0.6829,0.1914,-0.039,0
厦门·三明·南平,0.6749,0.2186,-0.0416,0
福州·泉州·三明,0.6713,0.1533,-0.0419,0
福州·漳州·南平,0.6999,0.2361,-0.0421,0
福州·泉州·南平,0.6661,0.1662,-0.0422,0
福州·漳州·三明,0.7065,0.2246,-0.0422,0
厦门·南平·龙岩,0.6726,0.1992,-0.0425,0
福州·莆田·龙岩,0.7416,0.246,-0.0429,0
泉州·南平·龙岩,0.3367,0.0469,-0.0434,0
泉州·三明·龙岩,0.3445,0.0366,-0.0435,0
泉州·莆田·南平,0.319,0.0499,-0.0474,0
泉州·莆田·三明,0.3268,0.0396,-0.0475,0
福州·南平·龙岩,0.7525,0.2715,-0.0523,0
福州·三明·龙岩,0.7605,0.2614,-0.0528,0
福州·莆田·南平,0.7361,0.2758,-0.0558,0
福州·莆田·三明,0.7437,0.2653,-0.0563,0
泉州·三明·南平,0.3255,0.0528,-0.0564,0
福州·三明·南平,0.755,0.2911,-0.066,0
